,source,blood_cell
0,barcelone,basophil
1,barcelone,basophil
2,barcelone,basophil
3,barcelone,basophil
4,barcelone,basophil
5,barcelone,basophil
6,barcelone,basophil
7,barcelone,basophil
8,barcelone,basophil
9,barcelone,basophil
10,barcelone,basophil
11,barcelone,basophil
12,barcelone,basophil
13,barcelone,basophil
14,barcelone,basophil
15,barcelone,basophil
16,barcelone,basophil
17,barcelone,basophil
18,barcelone,basophil
19,barcelone,basophil
20,barcelone,basophil
21,barcelone,basophil
22,barcelone,basophil
23,barcelone,basophil
24,barcelone,basophil
25,barcelone,basophil
26,barcelone,basophil
27,barcelone,basophil
28,barcelone,basophil
29,barcelone,basophil
30,barcelone,basophil
31,barcelone,basophil
32,barcelone,basophil
33,barcelone,basophil
34,barcelone,basophil
35,barcelone,basophil
36,barcelone,basophil
37,barcelone,basophil
38,barcelone,basophil
39,barcelone,basophil
40,barcelone,basophil
41,barcelone,basophil
42,barcelone,basophil
43,barcelone,basophil
44,barcelone,basophil
45,barcelone,basophil
46,barcelone,basophil
47,barcelone,basophil
48,barcelone,basophil
49,barcelone,basophil
50,barcelone,basophil
51,barcelone,basophil
52,barcelone,basophil
53,barcelone,basophil
54,barcelone,basophil
55,barcelone,basophil
56,barcelone,basophil
57,barcelone,basophil
58,barcelone,basophil
59,barcelone,basophil
60,barcelone,basophil
61,barcelone,basophil
62,barcelone,basophil
63,barcelone,basophil
64,barcelone,basophil
65,barcelone,basophil
66,barcelone,basophil
67,barcelone,basophil
68,barcelone,basophil
69,barcelone,basophil
70,barcelone,basophil
71,barcelone,basophil
72,barcelone,basophil
73,barcelone,basophil
74,barcelone,basophil
75,barcelone,basophil
76,barcelone,basophil
77,barcelone,basophil
78,barcelone,basophil
79,barcelone,basophil
80,barcelone,basophil
81,barcelone,basophil
82,barcelone,basophil
83,barcelone,basophil
84,barcelone,basophil
85,barcelone,basophil
86,barcelone,basophil
87,barcelone,basophil
88,barcelone,basophil
89,barcelone,basophil
90,barcelone,basophil
91,barcelone,basophil
92,barcelone,basophil
93,barcelone,basophil
94,barcelone,basophil
95,barcelone,basophil
96,barcelone,basophil
97,barcelone,basophil
98,barcelone,basophil
99,barcelone,basophil
100,barcelone,basophil
101,barcelone,basophil
102,barcelone,basophil
103,barcelone,basophil
104,barcelone,basophil
105,barcelone,basophil
106,barcelone,basophil
107,barcelone,basophil
108,barcelone,basophil
109,barcelone,basophil
110,barcelone,basophil
111,barcelone,basophil
112,barcelone,basophil
113,barcelone,basophil
114,barcelone,basophil
115,barcelone,basophil
116,barcelone,basophil
117,barcelone,basophil
118,barcelone,basophil
119,barcelone,basophil
120,barcelone,basophil
121,barcelone,basophil
122,barcelone,basophil
123,barcelone,basophil
124,barcelone,basophil
125,barcelone,basophil
126,barcelone,basophil
127,barcelone,basophil
128,barcelone,basophil
129,barcelone,basophil
130,barcelone,basophil
131,barcelone,basophil
132,barcelone,basophil
133,barcelone,basophil
134,barcelone,basophil
135,barcelone,basophil
136,barcelone,basophil
137,barcelone,basophil
138,barcelone,basophil
139,barcelone,basophil
140,barcelone,basophil
141,barcelone,basophil
142,barcelone,basophil
143,barcelone,basophil
144,barcelone,basophil
145,barcelone,basophil
146,barcelone,basophil
147,barcelone,basophil
148,barcelone,basophil
149,barcelone,basophil
150,barcelone,basophil
151,barcelone,basophil
152,barcelone,basophil
153,barcelone,basophil
154,barcelone,basophil
155,barcelone,basophil
156,barcelone,basophil
157,barcelone,basophil
158,barcelone,basophil
159,barcelone,basophil
160,barcelone,basophil
161,barcelone,basophil
162,barcelone,basophil
163,barcelone,basophil
164,barcelone,basophil
165,barcelone,basophil
166,barcelone,basophil
167,barcelone,basophil
168,barcelone,basophil
169,barcelone,basophil
170,barcelone,basophil
171,barcelone,basophil
172,barcelone,basophil
173,barcelone,basophil
174,barcelone,basophil
175,barcelone,basophil
176,barcelone,basophil
177,barcelone,basophil
178,barcelone,basophil
