model,dataset,metric,score
resnet,original/balanced,precision,0.7219745069670241
resnet,original/balanced,recall,0.7213333333333334
resnet,original/balanced,f1-score,0.7182702080880888
resnet,original/balanced,accuracy,0.7213333333333334
resnet,original/unbalanced,precision,0.7186366215650258
resnet,original/unbalanced,recall,0.6932645487047377
resnet,original/unbalanced,f1-score,0.6990690229267844
resnet,original/unbalanced,accuracy,0.7271624198301265
resnet,preprocessed/balanced,precision,0.7198491026467171
resnet,preprocessed/balanced,recall,0.7173333333333334
resnet,preprocessed/balanced,f1-score,0.7167574269342244
resnet,preprocessed/balanced,accuracy,0.7173333333333334
resnet,preprocessed/unbalanced,precision,0.7075008410032382
resnet,preprocessed/unbalanced,recall,0.7118662018686887
resnet,preprocessed/unbalanced,f1-score,0.7062507951845138
resnet,preprocessed/unbalanced,accuracy,0.733229329173167
alexnet,original/balanced,precision,0.6797710995763281
alexnet,original/balanced,recall,0.6586666666666667
alexnet,original/balanced,f1-score,0.6604529051244051
alexnet,original/balanced,accuracy,0.6586666666666666
alexnet,original/unbalanced,precision,0.657788520949111
alexnet,original/unbalanced,recall,0.6544382644970247
alexnet,original/unbalanced,f1-score,0.6457047448885455
alexnet,original/unbalanced,accuracy,0.7086150112671173
alexnet,preprocessed/balanced,precision,0.7051001379429572
alexnet,preprocessed/balanced,recall,0.6776666666666668
alexnet,preprocessed/balanced,f1-score,0.6788033462122326
alexnet,preprocessed/balanced,accuracy,0.6776666666666666
alexnet,preprocessed/unbalanced,precision,0.6279564545179206
alexnet,preprocessed/unbalanced,recall,0.681000430807847
alexnet,preprocessed/unbalanced,f1-score,0.6439131683002335
alexnet,preprocessed/unbalanced,accuracy,0.7051482059282371
vgg,original/balanced,precision,0.6781730696298486
vgg,original/balanced,recall,0.6849999999999999
vgg,original/balanced,f1-score,0.6755525109023705
vgg,original/balanced,accuracy,0.685
vgg,original/unbalanced,precision,0.6792948052311517
vgg,original/unbalanced,recall,0.6650477993995316
vgg,original/unbalanced,f1-score,0.6685797906007533
vgg,original/unbalanced,accuracy,0.7132951984746057
vgg,preprocessed/balanced,precision,0.6878826291668126
vgg,preprocessed/balanced,recall,0.6906666666666668
vgg,preprocessed/balanced,f1-score,0.685703666206675
vgg,preprocessed/balanced,accuracy,0.6906666666666667
vgg,preprocessed/unbalanced,precision,0.7050959173841455
vgg,preprocessed/unbalanced,recall,0.6732730024333843
vgg,preprocessed/unbalanced,f1-score,0.6826190373123151
vgg,preprocessed/unbalanced,accuracy,0.7259490379615184
squeezenet,original/balanced,precision,0.821395795498681
squeezenet,original/balanced,recall,0.8163333333333334
squeezenet,original/balanced,f1-score,0.8168011446775569
squeezenet,original/balanced,accuracy,0.8163333333333334
squeezenet,original/unbalanced,precision,0.8017065378826128
squeezenet,original/unbalanced,recall,0.7798767345770424
squeezenet,original/unbalanced,f1-score,0.7860228774562443
squeezenet,original/unbalanced,accuracy,0.8325533021320853
squeezenet,preprocessed/balanced,precision,0.814791984563947
squeezenet,preprocessed/balanced,recall,0.8133333333333332
squeezenet,preprocessed/balanced,f1-score,0.8122058864764291
squeezenet,preprocessed/balanced,accuracy,0.8133333333333334
squeezenet,preprocessed/unbalanced,precision,0.8066247434096981
squeezenet,preprocessed/unbalanced,recall,0.8154678911486727
squeezenet,preprocessed/unbalanced,f1-score,0.8080409879093556
squeezenet,preprocessed/unbalanced,accuracy,0.8497139885595424
densenet,original/balanced,precision,0.7499597598057371
densenet,original/balanced,recall,0.7433333333333334
densenet,original/balanced,f1-score,0.7429804472061909
densenet,original/balanced,accuracy,0.7433333333333333
densenet,original/unbalanced,precision,0.760062836170562
densenet,original/unbalanced,recall,0.7170973438731552
densenet,original/unbalanced,f1-score,0.7337718099584818
densenet,original/unbalanced,accuracy,0.7628705148205929
densenet,preprocessed/balanced,precision,0.7476814128855713
densenet,preprocessed/balanced,recall,0.7453333333333333
densenet,preprocessed/balanced,f1-score,0.7443970543448625
densenet,preprocessed/balanced,accuracy,0.7453333333333333
densenet,preprocessed/unbalanced,precision,0.7474664365127118
densenet,preprocessed/unbalanced,recall,0.709582062038706
densenet,preprocessed/unbalanced,f1-score,0.7242436961735723
densenet,preprocessed/unbalanced,accuracy,0.7618304732189287
inception,original/balanced,precision,0.6263727673414137
inception,original/balanced,recall,0.6316666666666667
inception,original/balanced,f1-score,0.6275900410999984
inception,original/balanced,accuracy,0.6316666666666667
inception,original/unbalanced,precision,0.6179254514950012
inception,original/unbalanced,recall,0.5696409591636951
inception,original/unbalanced,f1-score,0.5852070446394136
inception,original/unbalanced,accuracy,0.641705668226729
inception,preprocessed/balanced,precision,0.6417345753679726
inception,preprocessed/balanced,recall,0.6450000000000001
inception,preprocessed/balanced,f1-score,0.6393430100527127
inception,preprocessed/balanced,accuracy,0.645
inception,preprocessed/unbalanced,precision,0.618716949245838
inception,preprocessed/unbalanced,recall,0.5926350920824749
inception,preprocessed/unbalanced,f1-score,0.5976201625277681
inception,preprocessed/unbalanced,accuracy,0.6462125151672734
